Predictor	Feature	Importance
Mean squared error for FEV1_Obstruction_Rank using classifier is 0.12
Features appearing at least once
FEV1_Obstruction_Rank	Cluster 22	0.06706784375341622
FEV1_Obstruction_Rank	Cluster 96	0.05991210404559481
FEV1_Obstruction_Rank	Cluster 135	0.053197241170137965
FEV1_Obstruction_Rank	Cluster 108	0.05144629103133081
FEV1_Obstruction_Rank	Cluster 55	0.05049269127685681
FEV1_Obstruction_Rank	Cluster 125	0.03679520578339031
FEV1_Obstruction_Rank	Cluster 25	0.027479201275707604
FEV1_Obstruction_Rank	Cluster 3	0.027093048279699966
FEV1_Obstruction_Rank	Cluster 124	0.025908377210311022
FEV1_Obstruction_Rank	Cluster 17	0.025785830066985406
FEV1_Obstruction_Rank	Cluster 73	0.0207581372430729
FEV1_Obstruction_Rank	Cluster 147	0.01831177065128967
FEV1_Obstruction_Rank	Cluster 39	0.018060483436708935
FEV1_Obstruction_Rank	Cluster 24	0.014822723848291612
FEV1_Obstruction_Rank	Cluster 1	0.013798019566203249
FEV1_Obstruction_Rank	Cluster 15	0.013316587941068816
FEV1_Obstruction_Rank	Cluster 122	0.013129800857447586
FEV1_Obstruction_Rank	Cluster 2	0.01246027490214497
FEV1_Obstruction_Rank	Cluster 112	0.012331333310948628
FEV1_Obstruction_Rank	Cluster 130	0.011174217106565382

Mean squared error for Cystic Fibrosis related diabetes (CFRD) using classifier is 0.23076923076923078
Features appearing at least once
Cystic Fibrosis related diabetes (CFRD)	Cluster 139	0.04085330312319036
Cystic Fibrosis related diabetes (CFRD)	Cluster 135	0.0397621796252657
Cystic Fibrosis related diabetes (CFRD)	Cluster 94	0.032370676033987744
Cystic Fibrosis related diabetes (CFRD)	Cluster 37	0.02565770974131012
Cystic Fibrosis related diabetes (CFRD)	Cluster 102	0.022521989768312583
Cystic Fibrosis related diabetes (CFRD)	Cluster 96	0.01829466549803486
Cystic Fibrosis related diabetes (CFRD)	Cluster 42	0.018289685531342217
Cystic Fibrosis related diabetes (CFRD)	Cluster 123	0.017976962985101545
Cystic Fibrosis related diabetes (CFRD)	Cluster 43	0.01701782441196797
Cystic Fibrosis related diabetes (CFRD)	Cluster 63	0.016830594219481215
Cystic Fibrosis related diabetes (CFRD)	Cluster 134	0.016162095872585415
Cystic Fibrosis related diabetes (CFRD)	Cluster 11	0.016031877448070796
Cystic Fibrosis related diabetes (CFRD)	Cluster 88	0.015734271023042534
Cystic Fibrosis related diabetes (CFRD)	Cluster 89	0.015732978684513788
Cystic Fibrosis related diabetes (CFRD)	Cluster 62	0.014905624024271528
Cystic Fibrosis related diabetes (CFRD)	Cluster 17	0.014586664860531336
Cystic Fibrosis related diabetes (CFRD)	Cluster 125	0.013863752083358601
Cystic Fibrosis related diabetes (CFRD)	Cluster 70	0.013105399260295785
Cystic Fibrosis related diabetes (CFRD)	Cluster 90	0.01148970025485213
Cystic Fibrosis related diabetes (CFRD)	Cluster 54	0.011195795399617698

Mean squared error for Pancreatic insufficiency (PI) using classifier is 0.0
Features appearing at least once
Pancreatic insufficiency (PI)	Cluster 95	0.07082382411169195
Pancreatic insufficiency (PI)	Cluster 69	0.05829565084240477
Pancreatic insufficiency (PI)	Cluster 122	0.05626710059685739
Pancreatic insufficiency (PI)	Cluster 93	0.05056945499568316
Pancreatic insufficiency (PI)	Cluster 81	0.04574549312559044
Pancreatic insufficiency (PI)	Cluster 42	0.04309835465150857
Pancreatic insufficiency (PI)	Cluster 123	0.03754043334624569
Pancreatic insufficiency (PI)	Cluster 140	0.03718346274019457
Pancreatic insufficiency (PI)	Cluster 131	0.03530288394941023
Pancreatic insufficiency (PI)	Cluster 38	0.03524982792234649
Pancreatic insufficiency (PI)	Cluster 124	0.034494935310189434
Pancreatic insufficiency (PI)	Cluster 47	0.03218863948413024
Pancreatic insufficiency (PI)	Cluster 4	0.02850915444594269
Pancreatic insufficiency (PI)	Cluster 43	0.02800995144973067
Pancreatic insufficiency (PI)	Cluster 97	0.022135924076224316
Pancreatic insufficiency (PI)	Cluster 84	0.019264292282587463
Pancreatic insufficiency (PI)	Cluster 67	0.017462007894854158
Pancreatic insufficiency (PI)	Cluster 48	0.013411481304076621
Pancreatic insufficiency (PI)	Cluster 110	0.013341730256033947
Pancreatic insufficiency (PI)	Cluster 25	0.011855870580235264

Mean squared error for CFLD using classifier is 0.7083333333333334
Features appearing at least once
CFLD	Cluster 30	0.044527401028573006
CFLD	Cluster 5	0.04293808483665603
CFLD	Cluster 81	0.038792056928651245
CFLD	Cluster 113	0.03746928963598942
CFLD	Cluster 87	0.03229767193548669
CFLD	Cluster 89	0.028539012329151826
CFLD	Cluster 16	0.028250919751393967
CFLD	Cluster 94	0.02726937620351444
CFLD	Cluster 140	0.02569504688790715
CFLD	Cluster 2	0.02549496876739704
CFLD	Cluster 83	0.02223881897386489
CFLD	Cluster 39	0.019347805745431927
CFLD	Cluster 144	0.01631349897374142
CFLD	Cluster 66	0.014910109862460268
CFLD	Cluster 37	0.014828978596228112
CFLD	Cluster 147	0.014608422042774485
CFLD	Cluster 74	0.014567945646091526
CFLD	Cluster 148	0.014406841003841486
CFLD	Cluster 136	0.0133882967743225
CFLD	Cluster 129	0.012334366125776666

Mean squared error for CS_mucoid using classifier is 0.11538461538461539
Features appearing at least once
CS_mucoid	Cluster 31	0.10083942389000357
CS_mucoid	Cluster 30	0.04009167693994917
CS_mucoid	Cluster 93	0.03840885207488572
CS_mucoid	Cluster 42	0.034406550390604286
CS_mucoid	Cluster 32	0.02944085686825034
CS_mucoid	Cluster 51	0.02924184324531241
CS_mucoid	Cluster 100	0.024777724223138703
CS_mucoid	Cluster 91	0.019201874446110517
CS_mucoid	Cluster 50	0.01847458346554658
CS_mucoid	Cluster 29	0.01806715881587482
CS_mucoid	Cluster 140	0.01712524416587956
CS_mucoid	Cluster 7	0.016681138173860254
CS_mucoid	Cluster 104	0.016191382443443772
CS_mucoid	Cluster 112	0.015656671945642336
CS_mucoid	Cluster 38	0.013354138837039573
CS_mucoid	Cluster 111	0.013125072326401793
CS_mucoid	Cluster 5	0.012627613401619386
CS_mucoid	Cluster 135	0.012261998064885666
CS_mucoid	Cluster 40	0.0120089173843173
CS_mucoid	Cluster 84	0.011401787804035786

Mean squared error for CS_non-mucoid using classifier is 0.07692307692307693
Features appearing at least once
CS_non-mucoid	Cluster 132	0.05762033900279101
CS_non-mucoid	Cluster 141	0.047507300308407135
CS_non-mucoid	Cluster 58	0.042170923511098427
CS_non-mucoid	Cluster 1	0.038436931499835306
CS_non-mucoid	Cluster 115	0.026866245533830848
CS_non-mucoid	Cluster 97	0.02120483292786127
CS_non-mucoid	Cluster 145	0.01965949145167232
CS_non-mucoid	Cluster 118	0.01955224492250982
CS_non-mucoid	Cluster 146	0.01755604046769601
CS_non-mucoid	Cluster 68	0.017377325486839665
CS_non-mucoid	Cluster 138	0.015788249974183866
CS_non-mucoid	Cluster 131	0.015213939317061147
CS_non-mucoid	Cluster 100	0.01510279918462177
CS_non-mucoid	Cluster 103	0.014977880161419974
CS_non-mucoid	Cluster 109	0.014814794306407593
CS_non-mucoid	Cluster 56	0.014785234645747065
CS_non-mucoid	Cluster 16	0.013959706317344526
CS_non-mucoid	Cluster 76	0.01365803618588808
CS_non-mucoid	Cluster 149	0.013384585818908386
CS_non-mucoid	Cluster 19	0.013298204271172506

Mean squared error for CS_Pseudomonas aeruginosa using classifier is 0.15384615384615385
Features appearing at least once
CS_Pseudomonas aeruginosa	Cluster 132	0.06638728197609382
CS_Pseudomonas aeruginosa	Cluster 31	0.06000631935402022
CS_Pseudomonas aeruginosa	Cluster 112	0.03423421028159389
CS_Pseudomonas aeruginosa	Cluster 32	0.026311575509905778
CS_Pseudomonas aeruginosa	Cluster 124	0.022440128989514405
CS_Pseudomonas aeruginosa	Cluster 37	0.02240896373175435
CS_Pseudomonas aeruginosa	Cluster 42	0.022327718402495634
CS_Pseudomonas aeruginosa	Cluster 146	0.02029328384109162
CS_Pseudomonas aeruginosa	Cluster 97	0.019755087246974022
CS_Pseudomonas aeruginosa	Cluster 76	0.019608323298494587
CS_Pseudomonas aeruginosa	Cluster 52	0.019069767426866974
CS_Pseudomonas aeruginosa	Cluster 30	0.017582949906143647
CS_Pseudomonas aeruginosa	Cluster 28	0.01748531275803976
CS_Pseudomonas aeruginosa	Cluster 107	0.017241023870271283
CS_Pseudomonas aeruginosa	Cluster 136	0.015950139172638093
