Feature	Cluster
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Stress proteins YciF, YciE; Manganese catalase (EC 1.11.1.6)	1
Corallococcus sp. AS-1-12	1
Metabolism; Iron acquisition and metabolism; Siderophores; Siderophore Pyoverdine; Siderophore biosynthesis non-ribosomal peptide synthetase modules	1
Energy; Respiration; Electron accepting reactions; Adenylylsulfate reductase; Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	1
Pseudomonas syringae	1
Metabolism; Carbohydrates; Carboxylic acids; Malonate decarboxylase; Malonate decarboxylase beta subunit	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Resistance to antibiotics and toxic compounds; Fusaric acid resistance cluster; Tetrapartite efflux system, outer membrane factor lipoprotein FusA-like => FusA of FusABCDE system	1
Energy; Energy and Precursor Metabolites Generation; Fermentation; Acetoin, butanediol metabolism; Transcriptional activator of acetoin dehydrogenase operon AcoR	1
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Tetrapyrroles; Cobalamin synthesis, Precorin-2 to Cob(II)yrinate a,c diamide, aerobic; Precorrin-2 C(20)-methyltransferase (EC 2.1.1.130)	1
Metabolism; Iron acquisition and metabolism; Siderophores; Siderophore assembly kit; Siderophore biosynthesis non-ribosomal peptide synthetase modules	1
Membrane Transport; Membrane Transport; Protein and nucleoprotein secretion system, Type IV; Type IV pilus; Type IV fimbriae expression regulatory protein PilR	1
Energy; Respiration; Biogenesis of respiratory chain components; Heme O and Heme A biosynthesis (with selected terminal oxidases); Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)	1
Energy; Respiration; Biogenesis of respiratory chain components; Heme O and Heme A biosynthesis (with selected terminal oxidases); Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)	1
Metabolism; Amino Acids and Derivatives; Lysine, threonine, methionine, and cysteine; Cysteine dioxygenase containing cluster 1; Rhodanese-related sulfurtransferase YibN	1
Pseudomonas sp.	1
Metabolism; Fatty Acids, Lipids, and Isoprenoids; Isoprenoids; Acyclic terpene utilization; Citronellyl-CoA dehydrogenase	1
Miscellaneous; Miscellaneous; Betaine, crotonobetaine, L-carnitine (trimethyl ammonium compounds); Carnitine metabolism and transport; Acyl-CoA dehydrogenase PA4979	1
Energy; Respiration; Biogenesis of respiratory chain components; Biogenesis of cbb3-type cytochrome c oxidases; Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)	1
Pseudomonas sp. JV551A1	1
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Quinone cofactors; Pyrroloquinoline Quinone biosynthesis; Coenzyme PQQ synthesis protein E	1
Energy; Respiration; Electron accepting reactions; Cytochrome c oxidase EC 1.9.3.1; Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)	1
Energy; Respiration; Biogenesis of respiratory chain components; Biogenesis of cbb3-type cytochrome c oxidases; Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)	1
Metabolism; Carbohydrates; Carboxylic acids; Malonate decarboxylase; Malonate decarboxylase alpha subunit	1
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Tetrapyrroles; Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways; Heme d1 biosynthesis protein NirL	1
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion system; Type III secretion inner membrane protein (YscR,SpaR,HrcR,EscR,homologous to flagellar export components)	1
Metabolism; Sulfur Metabolism; ; Taurine and alkanesulfonate utilization as sulfur sources; Alkanesulfonate ABC transporter substrate-binding protein SsuA	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Histidine, proline, and proline betaine ABC transporter, substrate-binding protein HutV	1
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion system orphans; Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)	1
Pseudomonas sp. TCU-HL1	1
Pseudomonas fluorescens	1
Metabolism; Sulfur Metabolism; ; Sulfate assimilation related cluster; HEAT repeat-containing protein	1
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion systems; Type III secretion inner membrane protein (YscR,SpaR,HrcR,EscR,homologous to flagellar export components)	1
Pseudomonas amygdali	1
Metabolism; Sulfur Metabolism; ; Sulfate assimilation related cluster; Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	1
Metabolism; Iron acquisition and metabolism; ; ABC-type iron transport system; ABC-type Fe3+ transport system, periplasmic component	1
Metabolism; Secondary Metabolism; Ribosomally-synthesized post-translationally modified peptides (RiPPs); Colicin V and Bacteriocin Production Cluster; Septum-associated cell division protein DedD	1
Metabolism; Iron acquisition and metabolism; Siderophores; Salmochelin-mediated Iron Acquisition; Outer Membrane Siderophore Receptor IroN	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Osmoprotectant ABC transporter, permease protein OsmY	1
Membrane Transport; Membrane Transport; Protein secretion system, Type I; Type I secretion systems disambiguation; Type I secretion system, membrane fusion protein LapC	1
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Tetrapyrroles; Heme and heme d1 biosynthesis from siroheme; Heme d1 biosynthesis protein NirL	1
Metabolism; Iron acquisition and metabolism; Siderophores; Siderophore Mycobactin; Siderophore biosynthesis non-ribosomal peptide synthetase modules	1
Regulation And Cell Signaling; Regulation and Cell signaling; Two-component regulatory systems; BarA-UvrY(SirA) two-component regulatory system; Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)	1
Membrane Transport; Membrane Transport; Protein secretion system, Type I; Type I secretion systems disambiguation; Secreted alkaline metalloproteinase (EC 3.4.24.-), PrtA/B/C/G homolog	1
Energy; Respiration; Electron accepting reactions; Cytochrome c oxidase EC 1.9.3.1; Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Protection from Reactive Oxygen Species; Manganese catalase (EC 1.11.1.6)	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Toxins and superantigens; Cholera toxin; Zona occludens toxin	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Transcriptional regulator BetI, TetR family	1
Cellular Processes; Motility and Chemotaxis; ; Chemotaxis in Escherichia coli and Bacillus subtilis; Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)	1
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; Phenazine biosynthesis; Trans-2,3-dihydro-3-hydroxyanthranilate isomerase (EC 5.3.3.17)	1
Metabolism; Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines; Putrescine utilization; Putrescine importer	1
Energy; Energy and Precursor Metabolites Generation; Central Metabolism; Citrate lyase; Malonate decarboxylase beta subunit	1
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM	1
Pseudomonas sp. 8Z	1
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, membrane fusion component => TriB of TriABC-OpmH system	1
Bacillus sp. BML-BC021	1
Energy; Energy and Precursor Metabolites Generation; Central Metabolism; Citrate lyase; Malonate decarboxylase alpha subunit	1
Metabolism; Nitrogen Metabolism; ; Dissimilatory nitrite reductase; Heme d1 biosynthesis protein NirL	1
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Folate and pterines; Folate Biosynthesis; D-erythro-7,8-dihydroneopterin triphosphate epimerase	1
Metabolism; Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines; Polyamine Metabolism; Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	1
Energy; Respiration; ; Quinone oxidoreductase family; Putative Zn-dependent oxidoreductase PA5234	1
Cellular Processes; Motility and Chemotaxis; Flagellum; Flagellum; Flagellar two-component response regulator FleR	1
Pseudomonas sp. BAY1663	1
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; L-2-amino-4-methoxy-trans-3-butenoic acid synthesis; L-2-amino-4-methoxy-trans-3-butenoic acid non-ribosomal peptide synthetase AmbE	1
Metabolism; Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines; Putrescine utilization; Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	1
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexK of MexJK-OprM/OpmH system	1
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Carbohydrate-selective porin OprB	1
Metabolism; Amino Acids and Derivatives; Branched-chain amino acids; HMG CoA Synthesis; Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16)	1
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Quinone cofactors; Coenzyme PQQ synthesis; Coenzyme PQQ synthesis protein E	1
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Glycine betaine synthesis from choline; Transcriptional regulator BetI, TetR family	1
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccD4/OpdT tyrosine	1
Streptomyces sp. WAC 00631	1
Protein Processing; Protein Fate (folding, modification, targeting, degradation); Protein degradation; Putative TldE-TldD proteolytic complex; TldE/PmbA family protein, Beta/Gamma-proteobacterial subgroup	1
Metabolism; Amino Acids and Derivatives; Branched-chain amino acids; Degradation of branched-chain amino acids and alpha-keto acids [Leu, Val]; Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16)	1
Miscellaneous; Miscellaneous; ; Mycobacterial FadE proteins Acyl-CoA dehydrogenase; Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE23	2
Pseudomonas composti	2
Pseudomonas coronafaciens	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Osmoprotectant ABC transporter, permease protein OsmW	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Resistance to antibiotics and toxic compounds; Polymyxin resistance, lipid A modifications with phosphoethanolamine; Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue	2
Cellular Processes; Motility and Chemotaxis; Social motility and nonflagellar swimming in bacteria; Rhamnolipids in Pseudomonas; RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => TriC of TriABC-OpmH system	2
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion system; Type III secretion host injection and negative regulator protein (YopD)	2
Metabolism; Fatty Acids, Lipids, and Isoprenoids; Fatty acids; Fatty acid catabolic operon fadN-fadA-fadE (yusJKL); Acyl-CoA dehydrogenase 2 [fadN-fadA-fadE operon] (EC 1.3.8.7)	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexF of MexEF-OprN system	2
Pseudomonas sp. SHC52	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Histidine, proline, and proline betaine ABC transporter, substrate-binding protein HutX	2
Pseudomonas sp. SJZ079	2
