Predictor	Feature	Importance
Mean squared error for Best FEV1 using regressor is 232.64659806630627
Features appearing at least once
Best FEV1	Cluster 591	0.06971492049753088
Best FEV1	Cluster 163	0.06333143524890114
Best FEV1	Cluster 756	0.05058118211669748
Best FEV1	Cluster 1328	0.037652494456401946
Best FEV1	Cluster 688	0.031403255684650834
Best FEV1	Cluster 1448	0.024732121064898503
Best FEV1	Cluster 224	0.021994440854866334
Best FEV1	Cluster 1323	0.021441443292442217
Best FEV1	Cluster 847	0.02107555733459429
Best FEV1	Cluster 1084	0.018549821259454174
Best FEV1	Cluster 1423	0.01640378017640441
Best FEV1	Cluster 233	0.016010510571516805
Best FEV1	Cluster 1481	0.014954441666615092
Best FEV1	Cluster 1479	0.014754835171562867
Best FEV1	Cluster 18	0.014009938851906415
Best FEV1	Cluster 245	0.013048580947543312
Best FEV1	Cluster 678	0.012385583112991618
Best FEV1	Cluster 1052	0.011210483678468202
Best FEV1	Cluster 447	0.011038002030824933
Best FEV1	Cluster 960	0.010872036494434526

Mean squared error for FEV1/best FEV1 using regressor is 0.006609571688725636
Features appearing at least once
FEV1/best FEV1	Cluster 544	0.043497165556858265
FEV1/best FEV1	Cluster 574	0.04103037825429309
FEV1/best FEV1	Cluster 585	0.03471427412487684
FEV1/best FEV1	Cluster 565	0.02961632172715629
FEV1/best FEV1	Cluster 76	0.02769399883104181
FEV1/best FEV1	Cluster 975	0.027560559232898133
FEV1/best FEV1	Cluster 836	0.023730063346219653
FEV1/best FEV1	Cluster 712	0.022411086398954214
FEV1/best FEV1	Cluster 816	0.022199007619836224
FEV1/best FEV1	Cluster 353	0.01913894907204019
FEV1/best FEV1	Cluster 1019	0.016271287416993435
FEV1/best FEV1	Cluster 537	0.015757330275753996
FEV1/best FEV1	Cluster 1243	0.015616074547296892
FEV1/best FEV1	Cluster 862	0.014424243329593153
FEV1/best FEV1	Cluster 491	0.014364467739081063
FEV1/best FEV1	Cluster 1253	0.014022292870202497
FEV1/best FEV1	Cluster 649	0.013528539684294547
FEV1/best FEV1	Cluster 1207	0.012157002164733255
FEV1/best FEV1	Cluster 1296	0.011786270467783824
FEV1/best FEV1	Cluster 1283	0.011774156704389513

Mean squared error for FEV1_RATIO_SCORE using classifier is 0.76
Features appearing at least once
FEV1_RATIO_SCORE	Cluster 992	0.010118930646883373
FEV1_RATIO_SCORE	Cluster 1020	0.007899126883525414
FEV1_RATIO_SCORE	Cluster 916	0.007565729287352214
FEV1_RATIO_SCORE	Cluster 1021	0.006439666953522358
FEV1_RATIO_SCORE	Cluster 1262	0.006353450474911095
FEV1_RATIO_SCORE	Cluster 657	0.006201811000937229
FEV1_RATIO_SCORE	Cluster 690	0.005477516273624118
FEV1_RATIO_SCORE	Cluster 902	0.0053305081937244396
FEV1_RATIO_SCORE	Cluster 1065	0.00529209963085071
FEV1_RATIO_SCORE	Cluster 677	0.005208327068899743
FEV1_RATIO_SCORE	Cluster 1272	0.005151172037756263
