	Colwelliaceae	Trans-envelope signaling system VreARI in Pseudomonas	Heme and heme d1 biosynthesis from siroheme	Type III secretion system orphans	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	Type III secretion systems	Potential DNA repair cluster	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	Salmochelin-mediated Iron Acquisition	Onchocercidae	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	ABC-type iron transport system	Pseudomonadaceae	IbrA and IbrB: co-activators of prophage gene expression	Siderophore Pyoverdine	Edwardsiidae	Acyclic terpene utilization	Aestuariirhabdaceae	Adenylylsulfate reductase	Capitellidae	Marinobacteraceae	Geothermobacteraceae	Lipotidae	Type III secretion system	Cholera toxin	MexXY System of Pseudomonas aeruginosa	Beta-lactamases Ambler class D	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Stress proteins YciF, YciE	Phenazine biosynthesis	Type 4 conjugative transfer system, IncI1 type	Sulfur transfer pathway CsdAEL	Biogenesis of cbb3-type cytochrome c oxidases	Coenzyme PQQ synthesis	Quorum sensing regulation in Pseudomonas	tRNA modification, 5-oxyacetyl uridine (cmo5U34)	Malonate decarboxylase	Sulfate assimilation related cluster	Cytochrome c oxidase EC 1.9.3.1	Acytosteliaceae	Outer membrane porins in Pseudomonas and Acinetobacter	CMP-pseudaminic acid synthesis	Rhamnolipids in Pseudomonas	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
1068841_20180306_S	2.6952121980991746	2.37315376918081	8.50380100623122	0.0	0.0	1.1865768845904	289.129234211861	0.0	0.0	1.0780848792396698	1.1865768845904	34.4107296531217	3071.1942997340093	0.0	0.1977628140984	0.0	2.37315376918081	0.0	34.4107296531217	0.0	111.85130622111576	0.0	0.0	1.1865768845904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37315376918081	207.057666361025	3.95525628196801	0.0	0.0	41.5301909606641	205.475563848238	34.4107296531217	4.54854472426321	0.8085636594297524	2.37315376918081	0.0	0.0	0.0	1.0		
1447437_20171212_S	0.0	254.507502985452	3.32689546386211	53.4382583882852	0.0	84.8358343284838	231.6350966714	54.8937751537248	6.23792899474146	34.95754564978768	89.826177524277	14.9710295873795	23043.378500600957	27.4468875768624	30.3579211077418	12.076243042653925	119.768236699036	1.2711834781740974	28.6944733758107	1.9067752172611463	24.7880778243949	0.0	8.262692608131633	69.8648047411043	22.4565443810692	30.5658520742331	18.7137869842244	19.3375798836985	7.48551479368975	0.0	49.6955009914403	2.49517159789658	37.4275739684488	155.532362935554	29.942059174759	22.4565443810692	16.2186153863278	190.880627239089	28.6944733758107	159.898913231873	3.8135504345222926	299.42059174759	2.49517159789658	49.9034319579317	1.0	1.0	1.0	
1128691_20171206_S	50.165726059303054	7698.99754289728	89.2924972758706	1023.55658914378	381.973460569002	3814.77391139692	4213.2830196096	2847.43852424165	446.462486379353	723.8197617128012	5317.8642822074	754.025532551796	498342.7394069695	942.531915689745	1564.2722670921	343.99355012093525	4028.08376600038	14.3330645883723	416.698320620729	68.08205679476843	419.2421392098898	28.6661291767446	257.99516259070145	2902.00616146579	932.610527103537	724.261366793172	1091.35274448286	709.379283913861	446.462486379353	783.789698310419	1832.14975891971	277.79888041382	1051.66719013803	3755.24557987967	1269.9377390346	558.904890356375	545.676372241431	2734.99612026463	2361.29048351747	3904.06640867279	21.499596882558453	10973.0557763459	2430.74020362092	1686.63605965533	1.0	1.0	1.0	
1128691_20171218_S	33.85565079024732	5331.28618639271	39.0570416585547	698.144619646664	168.433492152517	2541.14877290971	2602.1754005012	2372.7152807572	219.69585932937	840.7486612911416	4086.34298352628	629.794796744194	431952.96321583545	864.137046695522	1454.87480178116	293.4156401821434	3354.02345242838	16.92782539512366	248.988640573286	16.92782539512366	445.7660687382563	39.49825925528854	265.2025978569373	2116.40344487293	395.452546792866	732.3195310979	878.78343731748	512.62367176853	424.745328036782	893.429827939438	1615.9850986227	336.866984305034	849.490656073564	3832.47221274568	673.733968610068	805.55148420769	468.684499902656	1716.06876787275	1435.34628095188	3934.99694709938	33.85565079024732	8839.09674035165	2270.19054640349	1259.58959348839	1.0	1.0	1.0	
1128691_20180116_S	52.02642942614848	8310.9274182108	159.268643902995	1069.03044316707	354.734706874851	4510.19841598025	3836.92642129941	3764.53158316169	289.579352550899	650.3303678268561	4879.41209048265	694.990446122158	503787.5240622236	752.906316632338	1809.87095344312	369.3876489256543	4372.64822351858	52.02642942614848	296.818836364672	72.83700119660787	426.6167212944176	67.63435825399303	218.5110035898236	3496.67068205211	752.906316632338	781.864251887427	752.906316632338	658.793027053295	506.763866964073	897.695992907787	2321.46114294971	173.747611530539	1404.45985987186	4167.52951546169	977.330314859284	564.679737474253	651.553543239523	2444.53236778384	2555.53778626168	4355.75609461977	20.810571770459397	12299.8829995994	2881.31455788145	1780.91301818803	1.0	1.0	1.0	
1162967_20180116_S	30.53178740716428	5626.36632351122	72.7689941900334	592.074998182544	243.114594225793	2718.91423746398	2933.91353847998	1925.07066448179	138.922625271882	366.3814488859714	3016.60557733229	327.46047385515	287681.9503705796	615.228769061191	790.53589142809	255.7037195350009	2123.53155772734	11.449420277686606	138.922625271882	22.89884055537321	240.43782583141876	45.79768111074642	179.37425101709016	1905.22457515724	793.843572982183	451.498532133616	208.383937907823	267.922205881487	545.767456425251	451.498532133616	1017.11207788342	59.5382679736637	744.228349670796	2308.76172475651	540.805934094112	277.845250543764	287.768295206041	1516.57199255138	1220.53449346011	2492.33805100864	11.449420277686606	5834.75026141904	0.0	1041.91968953911	1.0	1.0	1.0	
1590009_20171212_S	1.151767214024839	0.0	13.1099422480822	3.93298267442466	0.0	5.24397689923287	294.536702506913	0.0	5.24397689923287	2.303534428049678	0.0	5.24397689923287	2419.8629166661867	34.0858498450137	1.74799229974429	2.303534428049678	2.62198844961644	0.0	23.5978960465479	0.0	13.821206568298068	0.0	0.0	5.24397689923287	0.0	0.0	0.0	0.0	0.0	0.0	2.62198844961644	0.0	31.4638613953973	10.4879537984657	3.93298267442466	0.0	13.1099422480822	270.501808385429	34.0858498450137	13.1099422480822	0.0	20.9759075969315	10.4879537984657	0.0	0.0	1.0		
1282052_20180206_S	2.300896256614358	552.664482257095	6.55469735510912	51.0576425555868	14.4893309955044	175.424400266999	220.099837503138	117.984552391964	22.7689487072212	25.885082886911523	220.444821574459	21.7339964932566	32030.77678832848	42.4330407725485	62.787100980519	13.805377539686146	193.53606401138	0.5752240641535895	22.7689487072212	4.601792513228716	34.51344384921536	2.300896256614358	7.477912833996663	140.236024992203	0.0	20.699044279292	12.4194265675752	30.0136142049733	19.6640920653274	0.0	90.3858266862416	0.0	54.8524673401237	106.600078038354	66.2369416937343	18.9741239226843	34.1534230608317	163.694941842067	99.3554125406014	117.467076284982	1.150448128307179	499.364443237919	0.0	54.8524673401237	1.0	1.0		
1316935_20180417_S	2.7378582829795564	146.886694104364	4.16699841430819	0.0	10.938370837559	57.8171029985261	313.566630676691	34.3777369180425	18.7514928643868	13.689291414897784	46.8787321609671	43.753483350236	12010.984287431314	12.5009952429246	31.2524881073114	4.106787424469334	46.8787321609671	0.0	14.0636196482901	0.0	45.17466166916268	0.0	13.689291414897784	57.8171029985261	0.0	15.6262440536557	18.7514928643868	7.81312202682785	9.37574643219342	29.6898637019458	42.1908589448704	34.3777369180425	65.6302250253539	93.7574643219342	9.37574643219342	10.4174960357705	18.7514928643868	256.791277281742	42.1908589448704	98.4453375380309	0.0	112.508957186321	0.0	40.6282345395048	1.0	1.0		
1651490_20171215_S	0.5199732109801704	2.82581372359068	0.0	0.0	0.0	0.94193790786356	49.2947505115263	0.94193790786356	0.0	3.8997990823512776	0.0	4.7096895393178	4203.983410774677	0.0	0.313979302621187	0.5199732109801704	1.41290686179534	0.0	0.0	0.0	18.71903559528613	0.0	0.0	0.94193790786356	0.0	0.0	0.0	0.0	0.0	1.88387581572712	0.94193790786356	0.0	24.9613545583843	0.313979302621187	0.94193790786356	0.0	10.3613169864992	82.812041066338	0.0	0.784948256552967	0.0	13.6580996640216	0.0	0.94193790786356	0.0	1.0	0.0	1.0
1447437_20171006_S	0.4311653191313226	21.009368515116	0.583593569864334	1.750780709593	0.0	15.757026386337	158.445654218167	3.501561419186	2.6261710643895	0.8623306382626452	12.255464967151	5.25234212877901	4810.942630867298	0.875390354796501	3.501561419186	2.1558265956566127	20.1339781603195	0.0	17.50780709593	0.8623306382626452	12.503794254808357	0.4311653191313226	0.0	14.006245676744	0.0	0.875390354796501	0.0	0.875390354796501	0.0	0.0	2.6261710643895	3.501561419186	32.3894431274705	18.0914006657943	1.750780709593	0.0	7.00312283837201	214.908332102541	17.50780709593	19.8421813753874	1.2934959573939675	41.1433466754355	5.25234212877901	7.00312283837201	1.0	1.0		
1465461_20180406_S	0.6412247221199231	72.6610995823604	4.03672775457558	0.0	0.484407330549069	1.93762932219628	426.601389103547	1.93762932219628	0.0	0.8549662961598975	4.35966597494162	13.0789979248249	2015.3693016229183	23.7359591969044	1.29175288146418	0.6412247221199231	9.68814661098138	0.0	13.3212015900994	0.0	25.43524731075695	0.4274831480799487	0.4274831480799487	1.93762932219628	0.0	1.93762932219628	0.968814661098138	0.0	0.968814661098138	0.968814661098138	1.45322199164721	45.5342890716125	226.702630696964	4.52113508512465	2.42203665274535	0.0	9.20373928043231	321.081325598941	13.3212015900994	7.18537540314452	1.0687078701998718	42.6278450883181	0.968814661098138	0.0	1.0	1.0		
1470026_20180502_S	0.0	0.0	1.34001832743067	0.0	0.0	2.01002749114601	170.852336747411	0.0	0.0	2.3505942694078774	0.0	0.0	404.3022143381549	20.1002749114601	0.0	0.0	0.0	0.0	0.0	0.0	3.917657115679796	0.0	0.0	2.01002749114601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04010996458404	0.0	0.0	0.0	0.0	209.7128682429	0.0	6.03008247343803	0.0	22.1103024026061	0.0	0.0	0.0	0.0	0.0	0.0
1565754_20171128_S	8.549484893535164	122.843425773026	0.0	15.3554282216282	4.09478085910086	71.658665034265	288.68205056661	63.4691033160633	18.4265138659539	21.848683616812085	77.8008363229163	36.8530277319077	13977.457858164044	30.7108564432564	30.7108564432564	7.599542127586814	40.9478085910086	0.9499427659483516	12.2843425773026	0.0	86.44479170129999	0.9499427659483516	3.799771063793407	67.5638841751641	26.6160755841556	17.4028186511786	8.18956171820171	10.2369521477521	0.0	28.663466013706	26.2748438458972	16.3791234364034	321.440297439417	413.572866769186	27.6397707989308	6.82463476516809	51.1847607387607	209.51628729066	40.9478085910086	370.577667748628	1.8998855318967036	235.449899398299	24.5686851546051	14.331733006853	1.0	1.0	1.0	
1565754_20180403_S	5.650707186004329	888.008532130969	8.45722411553304	88.8008532130969	38.0575085198987	358.374871895712	814.007821120055	272.74547772594	44.4004266065484	79.1099006040606	513.776365018632	69.7720989531475	57987.557142776415	38.0575085198987	186.058930541727	42.38030389503246	418.632593718885	0.0	50.7433446931982	0.0	62.15777904604761	5.650707186004329	14.12676796501082	313.974445289164	69.7720989531475	38.0575085198987	114.172525559696	79.2864760831222	50.7433446931982	82.4579351264471	189.230389585052	6.34291808664978	133.201279819645	431.318429892185	79.2864760831222	65.543486895381	25.3716723465991	359.432024910154	272.74547772594	431.318429892185	2.8253535930021645	1271.75507637328	12.6858361732996	152.230034079595	1.0	1.0	1.0	
1586713_20180309_S	4.973531045402477	0.0	0.0	0.0	0.0	0.0	25.0865291731823	0.0	0.0	0.5328783262931225	1.50519175039094	0.0	5851.892153242306	0.0	0.0	0.3552522175287483	0.376297937597734	0.0	0.0	0.0	0.5328783262931225	0.0	0.0	0.0	0.0	0.0	0.752595875195469	0.0	0.0	0.0	0.0	0.0	0.0	0.376297937597734	0.0	0.0	0.0	249.924546887829	0.0	0.376297937597734	0.5328783262931225	0.0	0.0	0.0	0.0	1.0		
1593967_20180424_S	6.944444444444445	345.479545960393	6.73012102520246	50.1020120765072	8.97349470026995	126.750612641313	278.178335708369	62.8144629018897	22.4337367506749	32.73809523809524	139.089167854184	33.6506051260123	25366.071428571428	15.7036157254724	99.456232927992	13.88888888888889	118.898804778577	0.0	13.4602420504049	0.0	94.24603174603176	0.0	11.904761904761903	117.777117941043	13.4602420504049	23.5554235882086	22.4337367506749	19.0686762380736	33.6506051260123	22.4337367506749	65.8056278019797	13.4602420504049	170.496399305129	292.386368983796	52.719281364086	20.9381543006299	40.3807261512148	315.567896959493	71.7879576021596	292.386368983796	1.984126984126984	435.214492963093	6.73012102520246	47.1108471764173	1.0	1.0	0.0	0.0
1593973_20180427_S	2.535298396170235	67.408289817984	1.06997285425371	7.16881812349989	3.53091041903726	26.3213322146414	279.690904101921	24.3953810769847	3.85190227531337	6.479095901323933	47.5067947288649	4.4938859878656	5760.47965592057	7.06182083807452	6.63383169637303	1.9718987525768488	30.815218202507	0.0	5.13586970041783	0.0	10.14119358468094	0.5633996435933855	1.126799287186771	23.1114136518802	0.0	4.81487784414172	1.28396742510446	6.41983712552229	5.13586970041783	4.4938859878656	17.868546666037	1.28396742510446	14.7656253887013	27.926291496022	8.66678011945509	2.56793485020892	5.13586970041783	321.09885356154	12.8396742510446	28.8892670648503	2.535298396170235	50.7167132916261	1.28396742510446	8.9877719757312	1.0	1.0	0.0	0.0
1593973_20180504_S	3.123241782193149	93.0562974016574	0.858650956416678	13.2017584549064	3.70293224954692	37.6733107127817	125.041045528179	40.571257690688	3.21994108656254	11.00570913725205	47.6551280811256	11.5917879116251	8833.122663238833	17.0656877587815	14.2750721504273	3.866870777953423	35.0973578435317	0.2974515983041095	7.56686155342197	0.594903196608219	8.179918953363009	0.594903196608219	2.379612786432876	32.5214049742817	0.0	12.2357761289377	4.82991162984381	3.86392930387505	9.01583504237511	5.31290279282819	20.3929602148961	2.89794697790629	9.65982325968762	40.7322547450161	13.5237525635627	3.32727245611462	4.50791752118756	373.03017487827	27.2085021814535	42.9862135056099	0.8923547949123283	87.421400500173	1.28797643462502	17.3876818674377	1.0	1.0	0.0	0.0
