	Type III secretion system orphans	Trans-envelope signaling system VreARI in Pseudomonas	Acyclic terpene utilization	mag_3096	Adenylylsulfate reductase	Quorum sensing regulation in Pseudomonas	Rhamnolipids in Pseudomonas	Salmochelin-mediated Iron Acquisition	Sulfur transfer pathway CsdAEL	Stress proteins YciF, YciE	Outer membrane porins in Pseudomonas and Acinetobacter	tRNA modification, 5-oxyacetyl uridine (cmo5U34)	mag_2909	Phenazine biosynthesis	Type III secretion system	MexXY System of Pseudomonas aeruginosa	Siderophore Pyoverdine	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	Two partner secretion pathway (TPS)	ABC-type iron transport system	Type 4 conjugative transfer system, IncI1 type	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	mag_457	Type VI secretion system	Type III secretion systems	Potential DNA repair cluster	Taurine and alkanesulfonate utilization as sulfur sources	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	mag_129	Lipotidae	Biogenesis of cbb3-type cytochrome c oxidases	Cytochrome c oxidase EC 1.9.3.1	Coenzyme PQQ synthesis	Capitellidae	IbrA and IbrB: co-activators of prophage gene expression	Pseudomonadaceae	Marinobacteraceae	Edwardsiidae	Acytosteliaceae	Sulfate assimilation related cluster	Aestuariirhabdaceae	Heme and heme d1 biosynthesis from siroheme	Cholera toxin	mag_167	Geothermobacteraceae	CMP-pseudaminic acid synthesis	Malonate decarboxylase	EnvZ and OmpR regulon	Onchocercidae	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	Beta-lactamases Ambler class D	Colwelliaceae	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	mag_118	mag_12	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
1068841_20180306_S	0.0	2.37315376918081	2.37315376918081	0.0	34.4107296531217	0.0	0.0	0.0	207.057666361025	0.0	2.37315376918081	41.5301909606641	0.0	0.0	1.1865768845904	0.0	0.1977628140984	0.0	289.524759840058	34.4107296531217	2.37315376918081	0.0	0.0	75.3476321714906	1.1865768845904	289.129234211861	0.593288442295201	0.0	0.019005	0.0	3.95525628196801	4.54854472426321	0.0	0.0	0.0	3071.1942997340093	111.85130622111576	0.0	0.8085636594297524	34.4107296531217	0.0	8.50380100623122	0.0	0.0	0.0	0.0	205.475563848238	52.8026713642729	1.0780848792396698	1.1865768845904	0.0	2.6952121980991746	0.0	0.0	0.0	0.0	1.0		
1447437_20171212_S	53.4382583882852	254.507502985452	119.768236699036	0.9988	28.6944733758107	22.4565443810692	49.9034319579317	6.23792899474146	37.4275739684488	0.0	299.42059174759	16.2186153863278	0.3513	49.6955009914403	69.8648047411043	30.5658520742331	30.3579211077418	19.3375798836985	311.896449737073	14.9710295873795	2.49517159789658	7.48551479368975	1.904	560.789816627257	84.8358343284838	231.6350966714	145.96753847695	0.0	0.1086	8.262692608131633	155.532362935554	159.898913231873	29.942059174759	1.9067752172611463	27.4468875768624	23043.378500600957	24.7880778243949	12.076243042653925	3.8135504345222926	28.6944733758107	1.2711834781740974	3.32689546386211	22.4565443810692	4.89	0.0	2.49517159789658	190.880627239089	51.15101775688	34.95754564978768	89.826177524277	18.7137869842244	0.0	54.8937751537248	1.484	4.755	1.0	1.0	1.0	
1128691_20171206_S	1023.55658914378	7698.99754289728	4028.08376600038	232.3	416.698320620729	558.904890356375	1686.63605965533	446.462486379353	1051.66719013803	783.789698310419	10973.0557763459	545.676372241431	41.2	1832.14975891971	2902.00616146579	724.261366793172	1564.2722670921	709.379283913861	6637.40896417305	754.025532551796	277.79888041382	446.462486379353	304.3	11612.9853401563	3814.77391139692	4213.2830196096	3680.83516548311	381.973460569002	10.68	257.99516259070145	3755.24557987967	3904.06640867279	1269.9377390346	68.08205679476843	942.531915689745	498342.7394069695	419.2421392098898	343.99355012093525	21.499596882558453	2361.29048351747	14.3330645883723	89.2924972758706	932.610527103537	425.6	28.6661291767446	2430.74020362092	2734.99612026463	1726.32161400016	723.8197617128012	5317.8642822074	1091.35274448286	50.165726059303054	2847.43852424165	1885.0	819.5	1.0	1.0	1.0	
1128691_20171218_S	698.144619646664	5331.28618639271	3354.02345242838	107.7	248.988640573286	805.55148420769	1259.58959348839	219.69585932937	849.490656073564	893.429827939438	8839.09674035165	468.684499902656	19.99	1615.9850986227	2116.40344487293	732.3195310979	1454.87480178116	512.62367176853	5184.82228017313	629.794796744194	336.866984305034	424.745328036782	151.2	10633.2795915415	2541.14877290971	2602.1754005012	2878.01575721475	168.433492152517	5.605	265.2025978569373	3832.47221274568	3934.99694709938	673.733968610068	16.92782539512366	864.137046695522	431952.96321583545	445.7660687382563	293.4156401821434	33.85565079024732	1435.34628095188	16.92782539512366	39.0570416585547	395.452546792866	172.9	39.49825925528854	2270.19054640349	1716.06876787275	1288.8823747323	840.7486612911416	4086.34298352628	878.78343731748	33.85565079024732	2372.7152807572	1013.0	401.1	1.0	1.0	1.0	
1128691_20180116_S	1069.03044316707	8310.9274182108	4372.64822351858	262.5	296.818836364672	564.679737474253	1780.91301818803	289.579352550899	1404.45985987186	897.695992907787	12299.8829995994	651.553543239523	45.24	2321.46114294971	3496.67068205211	781.864251887427	1809.87095344312	658.793027053295	7123.65207275212	694.990446122158	173.747611530539	506.763866964073	421.2	14044.5985987186	4510.19841598025	3836.92642129941	3634.22087451378	354.734706874851	15.725	218.5110035898236	4167.52951546169	4355.75609461977	977.330314859284	72.83700119660787	752.906316632338	503787.5240622236	426.6167212944176	369.3876489256543	20.810571770459397	2555.53778626168	52.02642942614848	159.268643902995	752.906316632338	461.1	67.63435825399303	2881.31455788145	2444.53236778384	2244.23998226947	650.3303678268561	4879.41209048265	752.906316632338	52.02642942614848	3764.53158316169	2402.0	1116.0	1.0	1.0	1.0	
1162967_20180116_S	592.074998182544	5626.36632351122	2123.53155772734	23.07	138.922625271882	277.845250543764	1041.91968953911	138.922625271882	744.228349670796	451.498532133616	5834.75026141904	287.768295206041	9.696	1017.11207788342	1905.22457515724	451.498532133616	790.53589142809	267.922205881487	4911.90710782725	327.46047385515	59.5382679736637	545.767456425251	65.72	9506.27678646164	2718.91423746398	2933.91353847998	2446.03050925135	243.114594225793	2.9235	179.37425101709016	2308.76172475651	2492.33805100864	540.805934094112	22.89884055537321	615.228769061191	287681.9503705796	240.43782583141876	255.7037195350009	11.449420277686606	1220.53449346011	11.449420277686606	72.7689941900334	793.843572982183	53.12	45.79768111074642	0.0	1516.57199255138	922.843153591787	366.3814488859714	3016.60557733229	208.383937907823	30.53178740716428	1925.07066448179	34.9	172.6	1.0	1.0	1.0	
1590009_20171212_S	3.93298267442466	0.0	2.62198844961644	0.0	23.5978960465479	0.0	0.0	5.24397689923287	31.4638613953973	0.0	20.9759075969315	13.1099422480822	0.0	2.62198844961644	5.24397689923287	0.0	1.74799229974429	0.0	191.405156822	5.24397689923287	0.0	0.0	0.0	98.3245668606164	5.24397689923287	294.536702506913	13.1099422480822	0.0	0.0	0.0	10.4879537984657	13.1099422480822	3.93298267442466	0.0	34.0858498450137	2419.8629166661867	13.821206568298068	2.303534428049678	0.0	34.0858498450137	0.0	13.1099422480822	0.0	0.0	0.0	10.4879537984657	270.501808385429	34.0858498450137	2.303534428049678	0.0	0.0	1.151767214024839	0.0	0.4099	0.2138	0.0	1.0		
1282052_20180206_S	51.0576425555868	552.664482257095	193.53606401138	0.8552	22.7689487072212	18.9741239226843	54.8524673401237	22.7689487072212	54.8524673401237	0.0	499.364443237919	34.1534230608317	14.86	90.3858266862416	140.236024992203	20.699044279292	62.787100980519	30.0136142049733	300.136142049733	21.7339964932566	0.0	19.6640920653274	2.4	608.551901811184	175.424400266999	220.099837503138	287.716715482158	14.4893309955044	0.33525	7.477912833996663	106.600078038354	117.467076284982	66.2369416937343	4.601792513228716	42.4330407725485	32030.77678832848	34.51344384921536	13.805377539686146	1.150448128307179	99.3554125406014	0.5752240641535895	6.55469735510912	0.0	6.502	2.300896256614358	0.0	163.694941842067	74.5165594054511	25.885082886911523	220.444821574459	12.4194265675752	2.300896256614358	117.984552391964	1.35	5.584	1.0	1.0		
1316935_20180417_S	0.0	146.886694104364	46.8787321609671	0.7299	14.0636196482901	10.4174960357705	40.6282345395048	18.7514928643868	65.6302250253539	29.6898637019458	112.508957186321	18.7514928643868	1.18	42.1908589448704	57.8171029985261	15.6262440536557	31.2524881073114	7.81312202682785	212.516919129717	43.753483350236	34.3777369180425	9.37574643219342	1.132	610.986142497938	57.8171029985261	313.566630676691	106.258459564859	10.938370837559	7.278	13.689291414897784	93.7574643219342	98.4453375380309	9.37574643219342	0.0	12.5009952429246	12010.984287431314	45.17466166916268	4.106787424469334	0.0	42.1908589448704	0.0	4.16699841430819	0.0	2.054	0.0	0.0	256.791277281742	75.0059714575473	13.689291414897784	46.8787321609671	18.7514928643868	2.7378582829795564	34.3777369180425	2.337	2.623	1.0	1.0		
1651490_20171215_S	0.0	2.82581372359068	1.41290686179534	0.0	0.0	0.0	0.94193790786356	0.0	24.9613545583843	1.88387581572712	13.6580996640216	10.3613169864992	0.0	0.94193790786356	0.94193790786356	0.0	0.313979302621187	0.0	178.026264586213	4.7096895393178	0.0	0.0	0.04919	100.787356141401	0.94193790786356	49.2947505115263	108.793828358241	0.0	0.010445	0.0	0.313979302621187	0.784948256552967	0.94193790786356	0.0	0.0	4203.983410774677	18.71903559528613	0.5199732109801704	0.0	0.0	0.0	0.0	0.0	0.0242	0.0	0.0	82.812041066338	59.3420881954043	3.8997990823512776	0.0	0.0	0.5199732109801704	0.94193790786356	0.02923	0.04767	0.0	1.0	0.0	1.0
1447437_20171006_S	1.750780709593	21.009368515116	20.1339781603195	0.1045	17.50780709593	0.0	7.00312283837201	2.6261710643895	32.3894431274705	0.0	41.1433466754355	7.00312283837201	0.07192	2.6261710643895	14.006245676744	0.875390354796501	3.501561419186	0.875390354796501	109.423794349563	5.25234212877901	3.501561419186	0.0	0.2998	112.48766059135	15.757026386337	158.445654218167	54.2742019973831	0.0	0.015895	0.0	18.0914006657943	19.8421813753874	1.750780709593	0.8623306382626452	0.875390354796501	4810.942630867298	12.503794254808357	2.1558265956566127	1.2934959573939675	17.50780709593	0.0	0.583593569864334	0.0	0.4337	0.4311653191313226	5.25234212877901	214.908332102541	53.3988116425866	0.8623306382626452	12.255464967151	0.0	0.4311653191313226	3.501561419186	0.2439	0.4139	1.0	1.0		
1465461_20180406_S	0.0	72.6610995823604	9.68814661098138	0.05018	13.3212015900994	0.0	0.0	0.0	226.702630696964	0.968814661098138	42.6278450883181	9.20373928043231	0.0	1.45322199164721	1.93762932219628	1.93762932219628	1.29175288146418	0.0	331.334614095563	13.0789979248249	45.5342890716125	0.968814661098138	0.03449	117.226573992875	1.93762932219628	426.601389103547	4.35966597494162	0.484407330549069	0.2411	0.4274831480799487	4.52113508512465	7.18537540314452	2.42203665274535	0.0	23.7359591969044	2015.3693016229183	25.43524731075695	0.6412247221199231	1.0687078701998718	13.3212015900994	0.0	4.03672775457558	0.0	0.05804	0.4274831480799487	0.968814661098138	321.081325598941	36.3305497911802	0.8549662961598975	4.35966597494162	0.968814661098138	0.6412247221199231	1.93762932219628	0.0	0.11	1.0	1.0		
1470026_20180502_S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04010996458404	0.0	22.1103024026061	0.0	0.0	0.0	2.01002749114601	0.0	0.0	0.0	78.3910721546944	0.0	0.0	0.0	0.0	42.2105773140662	2.01002749114601	170.852336747411	6.03008247343803	0.0	0.0	0.0	0.0	6.03008247343803	0.0	0.0	20.1002749114601	404.3022143381549	3.917657115679796	0.0	0.0	0.0	0.0	1.34001832743067	0.0	0.0	0.0	0.0	209.7128682429	8.04010996458404	2.3505942694078774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
