Feature	Cluster
Universal GTPases	1
CtsR and MscAB regulation of protein degradation	1
DNA internalization-related cluster	1
RNA pseudouridine synthases	1
Thiamin, thiazole, hydroxymethylpyrimidine salvage and uptake	1
Trk and Ktr potassium uptake systems	1
Purine nucleotide synthesis regulator	2
Sex pheromones in Enterococcus faecalis and other Firmicutes	2
Ribonuclease J family	2
Cell envelope-associated LytR-CpsA-Psr transcriptional attenuators	2
Threonine synthase cluster	2
tRNA aminoacylation, Arg	3
Undecaprenyl-diphosphatases	3
Lactose utilization	3
tRNA aminoacylation, Ala	3
tRNA aminoacylation, Met	3
NAD and NADP cofactor biosynthesis bacterial	4
NAD and NADP cofactor biosynthesis global	4
Resistance to Triclosan	5
Fatty Acid Biosynthesis cluster	5
Aminoglycoside modifying enzymes: O-nucleotidyltransferases	5
Peptide methionine sulfoxide reductase	5
Enoyl-[ACP] reductases disambiguation	5
tRNA aminoacylation, Ser	6
Chorismate Synthesis	6
Lysine DAP biosynthetic pathway	7
DeNovo Purine Biosynthesis	7
Lysine leader peptide	7
Diaminopimelate Synthesis 	7
Branched-Chain Amino Acid Biosynthesis	8
Coenzyme A	8
Thiamin, hydroxymethylpyrimidine selected transporters	8
Tryptophan synthesis	8
Coenzyme A -- gjo	8
S-Adenosyl-L-homocysteine recycling	9
Rcn nickel and cobalt homeostasis system	9
CMP-legionaminic acid synthesis	9
DNA repair, bacterial DinG and relatives	10
High affinity phosphate transporter and control of PHO regulon	10
PEB1, the major cell-binding factor of Campylobacter jejuni	11
Pseudoalteromonadaceae	11
Cadmium resistance	11
2-O-alpha-mannosyl-D-glycerate utilization	11
Efflux ABC transporter MdlAB	11
Efflux ABC transporters BmrCD and LmrCD involved in multidrug resistance	11
Macrolides, lincosamides, streptogramins, ketolides, oxazolidinones (MLSKO) resistance: efflux systems	11
ATP-dependent RNA helicases, bacterial	12
Fatty acid synthesis	12
Magnesium transport	13
Glutathione: Redox cycle	13
EcsAB transporter affecting expression and secretion of secretory preproteins	14
L-serine dehydratase subunits	14
D-alanylation of teichoic acid	14
Late competence	14
Control of cell elongation - division cycle in Bacilli	14
HPr catabolite repression system	14
BarA-UvrY(SirA) two-component regulatory system	15
Stress response and cell wall lysis cluster	15
Glycyl-tRNA synthetase	15
Argulidae	15
Streptococcaceae	15
Fatty Acid Biosynthesis FASII	15
mag_39000	16
mag_46179	16
mag_47635	16
mag_56337	16
mag_43196	16
mag_42084	16
mag_39902	16
mag_39261	16
mag_38322	16
Methanocaldococcaceae	16
mag_38580	16
mag_42626	16
mag_39058	16
mag_45832	16
mag_39991	16
mag_41059	16
mag_42394	16
BOX elements in Streptococci	16
mag_44345	16
mag_38916	16
mag_45856	16
Macrolides, lincosamides, streptogramins, ketolides, oxazolidinones (MLSKO) resistance: ribosomal protection	16
mag_42786	17
mag_37857	17
mag_44876	17
mag_38510	17
mag_39063	17
mag_38659	17
mag_40014	17
mag_39550	17
mag_39249	17
mag_38628	17
mag_43670	17
mag_39377	17
mag_43477	17
mag_40852	17
mag_37788	17
mag_38589	17
mag_42457	17
mag_40256	17
mag_41945	17
mag_44800	17
mag_43076	17
mag_41164	17
mag_39897	17
mag_39982	17
mag_38917	17
mag_39863	17
mag_38340	17
mag_38296	17
mag_38129	17
mag_39491	17
mag_38109	17
mag_38868	17
mag_38430	17
mag_40208	17
mag_41268	17
mag_40755	17
mag_40152	17
mag_37846	17
mag_41025	17
mag_41036	17
mag_37886	17
mag_38915	17
mag_40173	17
mag_44396	17
mag_39477	17
mag_38808	17
mag_39508	17
mag_40241	17
mag_38703	17
mag_45405	17
mag_39606	17
mag_41761	17
mag_40281	17
mag_40317	17
mag_38723	17
mag_39620	17
mag_42902	17
mag_41404	17
mag_38144	17
mag_38366	17
mag_39845	17
mag_38087	17
Proline Synthesis	18
Pyruvate formate-lyase cluster with possible role in choline utilization	18
GMP synthase	18
Ribosome activity modulation	18
Fermentations: Mixed acid	18
tRNA aminoacylation, Leu	19
Pyruvate formate-lyase cluster	19
Threonine anaerobic catabolism gene cluster	19
Bacterial checkpoint-control-related cluster	20
N-acetylneuraminate utilization	20
Mevalonate metabolic pathway	20
Theridiidae	20
tRNA aminoacylation, Asp	20
VraTSR and LiaFSR three-component regulatory systems	21
ATP-dependent Nuclease	21
Tagatose utilization	21
Resistance to Daptomycin	21
tRNA thiolation	21
Ferrous iron transporter EfeUOB, low-pH-induced	21
Bacitracin resistance	21
Paenibacillaceae	21
Twin-arginine translocation system	22
SecY2-SecA2 Specialized Transport System	22
Folate Biosynthesis	23
The Chv two-component regulatory system	23
CoA disulfide thiol-disulfide redox system	23
Type I restriction-modification systems	24
tRNA aminoacylation, Cys	24
Damaged nicotinamide nucleotide NAD(P)HX repair	24
Isoprenoid Biosynthesis: Interconversions	24
DNA repair, bacterial MutHLS system	25
5-methylaminomethyl-2-thiouridine	25
tRNA aminoacylation, Asn	25
Hyperosmotic potassium uptake	25
IMP and Xanthine conversion to XMP and GMP module	26
Ethanolamine utilization	27
mag_45847	27
mag_44313	27
mag_41448	27
mag_42208	27
mag_42130	27
mag_43093	27
mag_42574	27
mag_44019	27
mag_42107	27
mag_38713	27
mag_49571	27
mag_42531	27
mag_40094	27
mag_39413	27
mag_40133	27
mag_42355	27
mag_40167	27
mag_44953	27
mag_40662	27
mag_41264	27
mag_45988	27
mag_40015	27
mag_39044	27
mag_40005	27
mag_42934	27
mag_43282	27
mag_38885	27
mag_41486	27
mag_42253	27
mag_43537	27
mag_65224	27
mag_49007	27
mag_42816	27
mag_44483	27
mag_46538	28
mag_42724	28
mag_45800	28
mag_25069	28
mag_44427	28
mag_41373	28
mag_39052	28
mag_43327	28
mag_42821	28
mag_44827	28
mag_44859	28
mag_39679	28
mag_40090	28
mag_46277	28
mag_39241	28
mag_41973	28
mag_44284	28
mag_43999	28
mag_41485	28
mag_41445	28
mag_41674	28
mag_38028	28
mag_40776	28
mag_44625	28
mag_38962	28
mag_44237	28
mag_39435	28
mag_46138	28
mag_41653	28
mag_37994	28
mag_41649	28
mag_40244	28
mag_44788	28
mag_42054	28
mag_39712	28
mag_40782	28
mag_40570	28
mag_41885	28
mag_41259	28
mag_38521	28
mag_51172	28
mag_42498	28
mag_43159	28
mag_77836	28
mag_43530	28
mag_49290	28
mag_41604	28
mag_45237	28
mag_42832	28
mag_49157	28
mag_42128	28
mag_40846	28
mag_41928	28
mag_40885	28
mag_43896	28
mag_43656	28
mag_42177	28
mag_55868	28
mag_46108	29
mag_44182	29
mag_47087	29
mag_39769	29
mag_38225	29
mag_42834	29
mag_40500	29
mag_40752	29
mag_36705	29
mag_38107	29
mag_39609	29
mag_44052	29
mag_44076	29
mag_44077	29
mag_39507	29
mag_50104	29
mag_40831	29
mag_42805	29
mag_44907	29
mag_39917	29
mag_43551	29
mag_45980	29
mag_39050	29
mag_44380	29
mag_40257	29
Gloeobacteraceae	29
mag_40639	29
mag_44853	29
mag_49124	29
mag_45419	29
Magnetobacteriaceae	29
mag_37988	29
mag_43037	29
mag_46733	29
mag_42200	30
mag_44159	30
mag_45613	30
mag_51622	30
mag_43002	30
mag_40408	30
mag_43167	30
