	Rhamnolipids in Pseudomonas	Aestuariirhabdaceae	Colwelliaceae	Trans-envelope signaling system VreARI in Pseudomonas	mag_3096	Salmochelin-mediated Iron Acquisition	Biogenesis of cbb3-type cytochrome c oxidases	Marinobacteraceae	Siderophore Pyoverdine	Pseudomonadaceae	Sulfur transfer pathway CsdAEL	Two partner secretion pathway (TPS)	Beta-lactamases Ambler class D	Adenylylsulfate reductase	Type 4 conjugative transfer system, IncI1 type	Sulfate assimilation related cluster	ABC-type iron transport system	Acyclic terpene utilization	Stress proteins YciF, YciE	Type III secretion system	Type III secretion systems	mag_118	CMP-pseudaminic acid synthesis	Phenazine biosynthesis	Heme and heme d1 biosynthesis from siroheme	Geothermobacteraceae	Outer membrane porins in Pseudomonas and Acinetobacter	Potential DNA repair cluster	mag_2909	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	Cytochrome c oxidase EC 1.9.3.1	Proteasome bacterial	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	mag_457	mag_129	Cholera toxin	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	Malonate decarboxylase	mag_12	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	Mycobacterial FadE proteins Acyl-CoA dehydrogenase	mag_167	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
1068841_20180306_S	0.0	0.0	2.6952121980991746	2.37315376918081	0.0	0.0	3.95525628196801	111.85130622111576	0.1977628140984	3071.1942997340093	207.057666361025	289.524759840058	0.0	34.4107296531217	2.37315376918081	34.4107296531217	34.4107296531217	2.37315376918081	0.0	1.1865768845904	1.1865768845904	0.0	0.0	0.0	8.50380100623122	0.0	2.37315376918081	289.129234211861	0.0	0.0	4.54854472426321	3399.5427743515	0.0	0.0	0.019005	0.0	1.1865768845904	205.475563848238	0.0	0.0	70.0080361908338	0.0	0.0	0.0	1.0		
1447437_20171212_S	49.9034319579317	1.2711834781740974	0.0	254.507502985452	0.9988	6.23792899474146	155.532362935554	24.7880778243949	30.3579211077418	23043.378500600957	37.4275739684488	311.896449737073	18.7137869842244	28.6944733758107	2.49517159789658	28.6944733758107	14.9710295873795	119.768236699036	0.0	69.8648047411043	84.8358343284838	1.484	2.49517159789658	49.6955009914403	3.32689546386211	0.0	299.42059174759	231.6350966714	0.3513	54.8937751537248	159.898913231873	2868.19975178212	0.0	1.904	0.1086	22.4565443810692	89.826177524277	190.880627239089	4.755	19.3375798836985	63.6268757463629	4.89	7.48551479368975	1.0	1.0	1.0	
1128691_20171206_S	1686.63605965533	14.3330645883723	50.165726059303054	7698.99754289728	232.3	446.462486379353	3755.24557987967	419.2421392098898	1564.2722670921	498342.7394069695	1051.66719013803	6637.40896417305	1091.35274448286	416.698320620729	277.79888041382	2361.29048351747	754.025532551796	4028.08376600038	783.789698310419	2902.00616146579	3814.77391139692	1885.0	2430.74020362092	1832.14975891971	89.2924972758706	28.6661291767446	10973.0557763459	4213.2830196096	41.2	2847.43852424165	3904.06640867279	7783.32934588005	381.973460569002	304.3	10.68	932.610527103537	5317.8642822074	2734.99612026463	819.5	709.379283913861	1031.82441296562	425.6	446.462486379353	1.0	1.0	1.0	
1128691_20171218_S	1259.58959348839	16.92782539512366	33.85565079024732	5331.28618639271	107.7	219.69585932937	3832.47221274568	445.7660687382563	1454.87480178116	431952.96321583545	849.490656073564	5184.82228017313	878.78343731748	248.988640573286	336.866984305034	1435.34628095188	629.794796744194	3354.02345242838	893.429827939438	2116.40344487293	2541.14877290971	1013.0	2270.19054640349	1615.9850986227	39.0570416585547	39.49825925528854	8839.09674035165	2602.1754005012	19.99	2372.7152807572	3934.99694709938	6935.06595949711	168.433492152517	151.2	5.605	395.452546792866	4086.34298352628	1716.06876787275	401.1	512.62367176853	922.722609183354	172.9	424.745328036782	1.0	1.0	1.0	
1128691_20180116_S	1780.91301818803	52.02642942614848	52.02642942614848	8310.9274182108	262.5	289.579352550899	4167.52951546169	426.6167212944176	1809.87095344312	503787.5240622236	1404.45985987186	7123.65207275212	752.906316632338	296.818836364672	173.747611530539	2555.53778626168	694.990446122158	4372.64822351858	897.695992907787	3496.67068205211	4510.19841598025	2402.0	2881.31455788145	2321.46114294971	159.268643902995	67.63435825399303	12299.8829995994	3836.92642129941	45.24	3764.53158316169	4355.75609461977	7550.78161776469	354.734706874851	421.2	15.725	752.906316632338	4879.41209048265	2444.53236778384	1116.0	658.793027053295	1028.00670155569	461.1	506.763866964073	1.0	1.0	1.0	
1162967_20180116_S	1041.91968953911	11.449420277686606	30.53178740716428	5626.36632351122	23.07	138.922625271882	2308.76172475651	240.43782583141876	790.53589142809	287681.9503705796	744.228349670796	4911.90710782725	208.383937907823	138.922625271882	59.5382679736637	1220.53449346011	327.46047385515	2123.53155772734	451.498532133616	1905.22457515724	2718.91423746398	34.9	0.0	1017.11207788342	72.7689941900334	45.79768111074642	5834.75026141904	2933.91353847998	9.696	1925.07066448179	2492.33805100864	4797.79209421107	243.114594225793	65.72	2.9235	793.843572982183	3016.60557733229	1516.57199255138	172.6	267.922205881487	962.535332240896	53.12	545.767456425251	1.0	1.0	1.0	
1590009_20171212_S	0.0	0.0	1.151767214024839	0.0	0.0	5.24397689923287	10.4879537984657	13.821206568298068	1.74799229974429	2419.8629166661867	31.4638613953973	191.405156822	0.0	23.5978960465479	0.0	34.0858498450137	5.24397689923287	2.62198844961644	0.0	5.24397689923287	5.24397689923287	0.4099	10.4879537984657	2.62198844961644	13.1099422480822	0.0	20.9759075969315	294.536702506913	0.0	0.0	13.1099422480822	3425.62790942388	0.0	0.0	0.0	0.0	0.0	270.501808385429	0.2138	0.0	76.0376650388767	0.0	0.0	0.0	1.0		
1282052_20180206_S	54.8524673401237	0.5752240641535895	2.300896256614358	552.664482257095	0.8552	22.7689487072212	106.600078038354	34.51344384921536	62.787100980519	32030.77678832848	54.8524673401237	300.136142049733	12.4194265675752	22.7689487072212	0.0	99.3554125406014	21.7339964932566	193.53606401138	0.0	140.236024992203	175.424400266999	1.35	0.0	90.3858266862416	6.55469735510912	2.300896256614358	499.364443237919	220.099837503138	14.86	117.984552391964	117.467076284982	2846.11858840264	14.4893309955044	2.4	0.33525	0.0	220.444821574459	163.694941842067	5.584	30.0136142049733	39.3281841306547	6.502	19.6640920653274	1.0	1.0		
1316935_20180417_S	40.6282345395048	0.0	2.7378582829795564	146.886694104364	0.7299	18.7514928643868	93.7574643219342	45.17466166916268	31.2524881073114	12010.984287431314	65.6302250253539	212.516919129717	18.7514928643868	14.0636196482901	34.3777369180425	42.1908589448704	43.753483350236	46.8787321609671	29.6898637019458	57.8171029985261	57.8171029985261	2.337	0.0	42.1908589448704	4.16699841430819	0.0	112.508957186321	313.566630676691	1.18	34.3777369180425	98.4453375380309	4008.13159976269	10.938370837559	1.132	7.278	0.0	46.8787321609671	256.791277281742	2.623	7.81312202682785	75.0059714575473	2.054	9.37574643219342	1.0	1.0		
1651490_20171215_S	0.94193790786356	0.0	0.5199732109801704	2.82581372359068	0.0	0.0	0.313979302621187	18.71903559528613	0.313979302621187	4203.983410774677	24.9613545583843	178.026264586213	0.0	0.0	0.0	0.0	4.7096895393178	1.41290686179534	1.88387581572712	0.94193790786356	0.94193790786356	0.02923	0.0	0.94193790786356	0.0	0.0	13.6580996640216	49.2947505115263	0.0	0.94193790786356	0.784948256552967	2765.05872853348	0.0	0.04919	0.010445	0.0	0.0	82.812041066338	0.04767	0.0	6.59356535504492	0.0242	0.0	0.0	1.0	0.0	1.0
