	Sulfur transfer pathway CsdAEL	Sulfate assimilation related cluster	Stress proteins YciF, YciE	Two partner secretion pathway (TPS)	Type 4 conjugative transfer system, IncI1 type	Type III secretion systems	Siderophore Pyoverdine	Trans-envelope signaling system VreARI in Pseudomonas	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	IbrA and IbrB: co-activators of prophage gene expression	Rhamnolipids in Pseudomonas	Respiratory Systems - Shewanella (updated)	Phenazine biosynthesis	Periplasmic nitrate reductase EC 1.7.99.4	Outer membrane porins in Pseudomonas and Acinetobacter	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Mycobacterial FadE proteins Acyl-CoA dehydrogenase	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	MexXY System of Pseudomonas aeruginosa	Heme and heme d1 biosynthesis from siroheme	Malonate decarboxylase	Salmochelin-mediated Iron Acquisition	Potential DNA repair cluster	Type III secretion system	Cholera toxin	Beta-lactamases Ambler class D	Pseudomonadaceae	Cytochrome c oxidase EC 1.9.3.1	ABC-type iron transport system	Aestuariirhabdaceae	Geothermobacteraceae	CMP-pseudaminic acid synthesis	Biogenesis of cbb3-type cytochrome c oxidases	Adenylylsulfate reductase	Coenzyme PQQ synthesis	Marinobacteraceae	Colwelliaceae	Acyclic terpene utilization	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
1068841_20180306_S	207.057666361025	34.4107296531217	0.0	289.524759840058	2.37315376918081	1.1865768845904	0.1977628140984	2.37315376918081	0.0	1.1865768845904	0.0	0.0	0.0	415.895198048936	0.0	347.37038296384	2.37315376918081	0.0	70.0080361908338	0.0	0.0	8.50380100623122	205.475563848238	0.0	289.129234211861	1.1865768845904	0.0	0.0	3071.1942997340093	4.54854472426321	34.4107296531217	0.0	0.0	0.0	3.95525628196801	34.4107296531217	0.0	111.85130622111576	2.6952121980991746	2.37315376918081	0.0	1.0		
1447437_20171212_S	37.4275739684488	28.6944733758107	0.0	311.896449737073	2.49517159789658	84.8358343284838	30.3579211077418	254.507502985452	0.0	89.826177524277	54.8937751537248	27.4468875768624	49.9034319579317	59.2603254500439	49.6955009914403	55.517568053199	299.42059174759	7.48551479368975	63.6268757463629	19.3375798836985	30.5658520742331	3.32689546386211	190.880627239089	6.23792899474146	231.6350966714	69.8648047411043	22.4565443810692	18.7137869842244	23043.378500600957	159.898913231873	14.9710295873795	1.2711834781740974	0.0	2.49517159789658	155.532362935554	28.6944733758107	29.942059174759	24.7880778243949	0.0	119.768236699036	1.0	1.0	1.0	
1128691_20171206_S	1051.66719013803	2361.29048351747	783.789698310419	6637.40896417305	277.79888041382	3814.77391139692	1564.2722670921	7698.99754289728	381.973460569002	5317.8642822074	2847.43852424165	942.531915689745	1686.63605965533	1230.25218468977	1832.14975891971	1250.09496186219	10973.0557763459	446.462486379353	1031.82441296562	709.379283913861	724.261366793172	89.2924972758706	2734.99612026463	446.462486379353	4213.2830196096	2902.00616146579	932.610527103537	1091.35274448286	498342.7394069695	3904.06640867279	754.025532551796	14.3330645883723	28.6661291767446	2430.74020362092	3755.24557987967	416.698320620729	1269.9377390346	419.2421392098898	50.165726059303054	4028.08376600038	1.0	1.0	1.0	
1128691_20171218_S	849.490656073564	1435.34628095188	893.429827939438	5184.82228017313	336.866984305034	2541.14877290971	1454.87480178116	5331.28618639271	168.433492152517	4086.34298352628	2372.7152807572	864.137046695522	1259.58959348839	1318.17515597622	1615.9850986227	1318.17515597622	8839.09674035165	424.745328036782	922.722609183354	512.62367176853	732.3195310979	39.0570416585547	1716.06876787275	219.69585932937	2602.1754005012	2116.40344487293	395.452546792866	878.78343731748	431952.96321583545	3934.99694709938	629.794796744194	16.92782539512366	39.49825925528854	2270.19054640349	3832.47221274568	248.988640573286	673.733968610068	445.7660687382563	33.85565079024732	3354.02345242838	1.0	1.0	1.0	
1128691_20180116_S	1404.45985987186	2555.53778626168	897.695992907787	7123.65207275212	173.747611530539	4510.19841598025	1809.87095344312	8310.9274182108	354.734706874851	4879.41209048265	3764.53158316169	752.906316632338	1780.91301818803	1527.53108470599	2321.46114294971	1498.5731494509	12299.8829995994	506.763866964073	1028.00670155569	658.793027053295	781.864251887427	159.268643902995	2444.53236778384	289.579352550899	3836.92642129941	3496.67068205211	752.906316632338	752.906316632338	503787.5240622236	4355.75609461977	694.990446122158	52.02642942614848	67.63435825399303	2881.31455788145	4167.52951546169	296.818836364672	977.330314859284	426.6167212944176	52.02642942614848	4372.64822351858	1.0	1.0	1.0	
1162967_20180116_S	744.228349670796	1220.53449346011	451.498532133616	4911.90710782725	59.5382679736637	2718.91423746398	790.53589142809	5626.36632351122	243.114594225793	3016.60557733229	1925.07066448179	615.228769061191	1041.91968953911	769.035961326489	1017.11207788342	828.574229300153	5834.75026141904	545.767456425251	962.535332240896	267.922205881487	451.498532133616	72.7689941900334	1516.57199255138	138.922625271882	2933.91353847998	1905.22457515724	793.843572982183	208.383937907823	287681.9503705796	2492.33805100864	327.46047385515	11.449420277686606	45.79768111074642	0.0	2308.76172475651	138.922625271882	540.805934094112	240.43782583141876	30.53178740716428	2123.53155772734	1.0	1.0	1.0	
1590009_20171212_S	31.4638613953973	34.0858498450137	0.0	191.405156822	0.0	5.24397689923287	1.74799229974429	0.0	0.0	0.0	0.0	34.0858498450137	0.0	104.879537984658	2.62198844961644	99.6355610854246	20.9759075969315	0.0	76.0376650388767	0.0	0.0	13.1099422480822	270.501808385429	5.24397689923287	294.536702506913	5.24397689923287	0.0	0.0	2419.8629166661867	13.1099422480822	5.24397689923287	0.0	0.0	10.4879537984657	10.4879537984657	23.5978960465479	3.93298267442466	13.821206568298068	1.151767214024839	2.62198844961644	0.0	1.0		
1282052_20180206_S	54.8524673401237	99.3554125406014	0.0	300.136142049733	0.0	175.424400266999	62.787100980519	552.664482257095	14.4893309955044	220.444821574459	117.984552391964	42.4330407725485	54.8524673401237	66.2369416937343	90.3858266862416	62.0971328378759	499.364443237919	19.6640920653274	39.3281841306547	30.0136142049733	20.699044279292	6.55469735510912	163.694941842067	22.7689487072212	220.099837503138	140.236024992203	0.0	12.4194265675752	32030.77678832848	117.467076284982	21.7339964932566	0.5752240641535895	2.300896256614358	0.0	106.600078038354	22.7689487072212	66.2369416937343	34.51344384921536	2.300896256614358	193.53606401138	1.0	1.0		
1316935_20180417_S	65.6302250253539	42.1908589448704	29.6898637019458	212.516919129717	34.3777369180425	57.8171029985261	31.2524881073114	146.886694104364	10.938370837559	46.8787321609671	34.3777369180425	12.5009952429246	40.6282345395048	226.580538778008	42.1908589448704	207.829045913621	112.508957186321	9.37574643219342	75.0059714575473	7.81312202682785	15.6262440536557	4.16699841430819	256.791277281742	18.7514928643868	313.566630676691	57.8171029985261	0.0	18.7514928643868	12010.984287431314	98.4453375380309	43.753483350236	0.0	0.0	0.0	93.7574643219342	14.0636196482901	9.37574643219342	45.17466166916268	2.7378582829795564	46.8787321609671	1.0	1.0		
1651490_20171215_S	24.9613545583843	0.0	1.88387581572712	178.026264586213	0.0	0.94193790786356	0.313979302621187	2.82581372359068	0.0	0.0	0.94193790786356	0.0	0.94193790786356	60.0485416263019	0.94193790786356	39.0904231763377	13.6580996640216	0.0	6.59356535504492	0.0	0.0	0.0	82.812041066338	0.0	49.2947505115263	0.94193790786356	0.0	0.0	4203.983410774677	0.784948256552967	4.7096895393178	0.0	0.0	0.0	0.313979302621187	0.0	0.94193790786356	18.71903559528613	0.5199732109801704	1.41290686179534	0.0	1.0	0.0	1.0
