Predictor	Feature	Importance
Mean squared error for IP vs OP using classifier is 0.3076923076923077
Features appearing at least once
IP vs OP	COPFe 3	0.03243797459189667
IP vs OP	COPFe 186	0.031062062809672122
IP vs OP	COPFe 297	0.029557342879005244
IP vs OP	COPFe 4	0.02796558080588991
IP vs OP	COPFe 33	0.027004825189634533
IP vs OP	COPFe 191	0.025739513885476583
IP vs OP	COPFe 52	0.02378277299469519
IP vs OP	COPFe 51	0.023699574654189856
IP vs OP	COPFe 34	0.02171282125628596
IP vs OP	COPFe 12	0.01989598282840041
IP vs OP	COPFe 146	0.018189299620601885
IP vs OP	COPFe 79	0.018153644613753524
IP vs OP	COPFe 36	0.013211458002001401
IP vs OP	COPFe 133	0.011859517789420307
IP vs OP	COPFe 155	0.01140215167952411
IP vs OP	COPFe 106	0.010653678951427712
IP vs OP	COPFe 72	0.010232042751495824
IP vs OP	COPFe 139	0.009831120386407915
IP vs OP	COPFe 235	0.00980518929154204
IP vs OP	COPFe 202	0.009716690159015204

Mean squared error for Hospital using classifier is 0.07692307692307693
Features appearing at least once
Hospital	COPFe 118	0.05358909482887266
Hospital	COPFe 107	0.040693191490516444
Hospital	COPFe 262	0.038563501306849206
Hospital	COPFe 297	0.03837499404054608
Hospital	COPFe 181	0.03426620882591943
Hospital	COPFe 33	0.028135593170532616
Hospital	COPFe 46	0.027428233696884432
Hospital	COPFe 127	0.022563806271801788
Hospital	COPFe 200	0.02200915398701296
Hospital	COPFe 266	0.021436798801539397
Hospital	COPFe 153	0.019397691838920438
Hospital	COPFe 51	0.01648943084895606
Hospital	COPFe 204	0.016371061351063865
Hospital	COPFe 183	0.016014669599794945
Hospital	COPFe 205	0.015624101686193855
Hospital	COPFe 278	0.013480971025394499
Hospital	COPFe 35	0.011831645557759516
Hospital	COPFe 179	0.01179147776265198
Hospital	COPFe 155	0.01176617116404593
Hospital	COPFe 5	0.011305127379866546

Mean squared error for Age using regressor is 93.60419676640709
Features appearing at least once
Age	COPFe 118	0.10062326813132054
Age	COPFe 79	0.05462522779375215
Age	COPFe 205	0.050961810876698564
Age	COPFe 297	0.04971730832096958
Age	COPFe 46	0.039377179513653125
Age	COPFe 179	0.035006744966621706
Age	COPFe 45	0.034129395650624776
Age	COPFe 139	0.0314996714256266
Age	COPFe 78	0.030860278354656046
Age	COPFe 4	0.028075572779028578
Age	COPFe 86	0.02719076412904926
Age	COPFe 56	0.024626380890637258
Age	COPFe 184	0.02128726447500536
Age	COPFe 12	0.019104469347937112
Age	COPFe 23	0.018754346250998793
Age	COPFe 174	0.018249864256425795
Age	COPFe 107	0.017099918476557913
Age	COPFe 181	0.01656906145626696
Age	COPFe 64	0.016041524041614075
Age	COPFe 57	0.016009158307932463

Mean squared error for Age groups using classifier is 1.0769230769230769
Features appearing at least once
Age groups	COPFe 186	0.027922495622035214
Age groups	COPFe 71	0.02341983644041299
Age groups	COPFe 297	0.01936168738599979
Age groups	COPFe 262	0.01882070255195153
Age groups	COPFe 7	0.017761532586500393
Age groups	COPFe 107	0.015045264786018682
Age groups	COPFe 170	0.01496952687224591
Age groups	COPFe 118	0.014768772860591934
Age groups	COPFe 204	0.013888960876052911
Age groups	COPFe 46	0.013183523003756558
Age groups	COPFe 153	0.012856688872568427
Age groups	COPFe 35	0.012680646141835155
Age groups	COPFe 298	0.012540754716912598
Age groups	COPFe 134	0.012467497498253037
Age groups	COPFe 183	0.012084934819603346
Age groups	COPFe 266	0.011580944043423838
Age groups	COPFe 211	0.011163399532809273
Age groups	COPFe 5	0.010881161106263892
Age groups	COPFe 255	0.010847884930395691
Age groups	COPFe 274	0.010238019592629048

Mean squared error for Paediatric vs Adult using classifier is 0.07692307692307693
Features appearing at least once
Paediatric vs Adult	COPFe 118	0.06879194115150203
Paediatric vs Adult	COPFe 262	0.05667675014923349
Paediatric vs Adult	COPFe 107	0.04283054932572139
Paediatric vs Adult	COPFe 297	0.041856985450559915
Paediatric vs Adult	COPFe 33	0.025609181106257643
Paediatric vs Adult	COPFe 205	0.02034995785682787
Paediatric vs Adult	COPFe 181	0.018706261143978643
Paediatric vs Adult	COPFe 266	0.017888560374671996
Paediatric vs Adult	COPFe 200	0.017130606061719858
Paediatric vs Adult	COPFe 183	0.016706737987580343
Paediatric vs Adult	COPFe 153	0.015783043818631853
Paediatric vs Adult	COPFe 56	0.01540839087843912
Paediatric vs Adult	COPFe 5	0.014402241167892713
Paediatric vs Adult	COPFe 46	0.013426705755715466
Paediatric vs Adult	COPFe 51	0.012903816469584852
Paediatric vs Adult	COPFe 127	0.012715669688395907
Paediatric vs Adult	COPFe 129	0.012372660241200116
Paediatric vs Adult	COPFe 170	0.011640357807017781
Paediatric vs Adult	COPFe 204	0.011506656371400845
Paediatric vs Adult	COPFe 179	0.011229235056885119

Mean squared error for Gender using classifier is 0.34615384615384615
Features appearing at least once
Gender	COPFe 294	0.028275452757714935
Gender	COPFe 16	0.02488126885633463
Gender	COPFe 250	0.023643708133762407
Gender	COPFe 258	0.022213599860774647
Gender	COPFe 147	0.021048726873854142
Gender	COPFe 208	0.015479715037559022
Gender	COPFe 285	0.015412360579817895
Gender	COPFe 182	0.014553484863763374
Gender	COPFe 113	0.014067026720993279
Gender	COPFe 251	0.013341560947277377
Gender	COPFe 85	0.012554258871028645
Gender	COPFe 164	0.012498206005478074
Gender	COPFe 206	0.01238586280172692
Gender	COPFe 17	0.012043818628307012
Gender	COPFe 103	0.011657584615944409
Gender	COPFe 166	0.011030417129520248
Gender	COPFe 218	0.010013098398023087
Gender	COPFe 267	0.009587947666966
Gender	COPFe 22	0.009108126108368851
Gender	COPFe 118	0.00903691660885835

Mean squared error for H2_Uncorrected using regressor is 515.8661083983276
Features appearing at least once
H2_Uncorrected	COPFe 295	0.07006139797686403
H2_Uncorrected	COPFe 168	0.0408922060444789
H2_Uncorrected	COPFe 207	0.03594453428354016
H2_Uncorrected	COPFe 173	0.03547191112659931
